rest_seq,rest_name,rest_score,rest_tel,rest_addr,rest_attitude,rest_longtitude,rest_time,rest_comment,food_name,rest_menu2,rest_menu3,rest_menu4
1,동원 게장 백반(Dongwon Gaejang Baekban),4.16,062-223-7200,"광주 동구 지호로, 76",35.1491293,126.9424985,,"2006년에 광주에서 개점하여 게장백반으로 유명한 한식당입니다. 간장게장, 양념게장, 나물, 볶음, 생선조림, 계란말이, 국 등을 맛볼 수 있는 게장백반이 대표적인 메뉴인데요. 간장, 계피, 감초, 야채 등을 넣고 끓여 숙성시킨 장으로 담근 간장게장과 매콤한 양념게장이 별미입니다.",간장게장,게장백반: 10000원,꽃게찜: 변동,게장떡국: 10000원
2,광주 두꺼비 게장 백반(Gwangju dookeobi gae jang baekban),4.36,062-521-4694,광주 북구 중흥로 76,,,매일 00:00 - 24:00?,반갑습니다. 저희 두꺼비게장백반은 삶의 질을 향상시키며 먹을거리 문화를 한 단계 고급화시키는데 노력하겠습니다.,간장게장,,,
3,민들레(Mindeulre),4.43,062-374-8769,광주 서구 상무평화로 137 길가한식,,,매일 11:00 - 15:00,"백년가게는 30년 이상 명맥을 유지하면서도 오래도록 고객의 꾸준한 사랑을 받아온 점포 가운데, 중소벤처기업부에서 그 우수성과 성장 가능성을 높게 평가 받아 공식 인증받은 점포입니다.",간장게장,,,
4,백년미가 유촌점(Baeknyun miga yoochonjeom),4.19,0507-1448-3392,광주 서구 유덕로 28번길 18 백년미가,,,매일 11:30 - 21:30,"Baeknyeonmi is the main store in Sangmu District.
Securing a parking lot that can accommodate about 100 cars.
There is a pond in the middle of the inside of the store in a nice hanok.
It is a restaurant that is recognized for its food made with only good ingredients and reasonable prices.",간장게장,,,
5,백도 간장 게장(Baekdo ganjang gejang),4.3,062-676-2646,광주 남구 효우로 230번길 9-11,,,평일 09:00 - 20:00,전남 광양에서 전국구 유명맛집인 간장게장 전문 '백도식당'을 절찬리에 운영중입니다. '백도'라는 상호는 여수 거문도에 위치한 신비한 섬 '백도'를 알리기 위해 지은 이름입니다.,간장게장,꽃게장 4마리 : 84000원,꽃게장 2마리: 49000원,돌게장: 49000원
6,진 식당(Jin Shikdang),4.5,062-515-3779,광주 북구 중흥로 88,,,매일 11:00 - 22:00?매주 월요일 휴무,,간장게장,간장게장 : 25000원,꽃게무침 : 25000원,꽃게탕: 45000원
7,김공순 달인게장(Kimkongsoon Dalinkejang),4.7,062-511-8472,광주 북구 중흥로 74,,,매일 10:00 - 22:00,김공순달인게장은 20년 전통의 맛으로 찾아주시는 모든 분들을 가족처럼 대접하겠습니다!,간장게장,게장정식: 12000원,특 게장정식: 16000원 ,김치찌개: 7000원
8,나주곰탕하얀집 운암점,4.8,,,,,,,곰탕,,,
9,새물 문흥골 곰탕,4.1,,,,,,,곰탕,,,
10,오복식당,3.9,,,,,,,곰탕,,,
11,본가 나주곰탕,4.65,,,,,,,곰탕,,,
12,종가집 가마솥 설렁탕,4.7,,,,,,,곰탕,,,
13,우리 소나주 곰탕,4.89,,,,,,,곰탕,,,
14,원조나주곰탕 봉선관,4.2,,,,,,,곰탕,,,
15,남도인나주곰탕 풍암점,4.3,,,,,,,곰탕,,,
16,서울곱창,4.5,,,,,,,곱창,,,
17,대소양,4.3,,,,,,,곱창,,,
18,광주곱창,4.5,,,,,,,곱창,,,
19,오일장,4.2,,,,,,,굴비,,,
20,돌섬바다,4.56,,,,,,,굴비,,,
21,홍아네,4.8,,,,,,,굴비,,,
22,명가원,3.8,,,,,,,굴비,,,
23,해오름,3.9,,,,,,,굴비,,,
24,온고당,4.8,,,,,,,굴비,,,
25,조선옥,4.8,,,,,,,굴비,,,
26,거목한정식,4.78,,,,,,,굴비,,,
27,제주물항,4.6,,,,,,,굴비,,,
28,맛가,3.9,,,,,,,굴비,,,
29,상무옥,4.3,,,,,,,떡갈비,,,
30,명가원,4.8,,,,,,,떡갈비,,,
31,전라도원조떡갈비,4.56,,,,,,,떡갈비,,,
32,유담떡갈비,4.7,,,,,,,떡갈비,,,
33,민속촌 작은집,4.8,,,,,,,떡갈비,,,
34,북동가든,4.7,,,,,,,떡갈비,,,
35,거목한정식,4.8,,,,,,,떡갈비,,,
36,시골집,4.2,,,,,,,떡갈비,,,
37,송원떡갈비,4.3,,,,,,,떡갈비,,,
38,남가정,4.56,,,,,,,떡갈비,,,
39,걸작떡볶이치킨 광주 쌍촌점 ,4.7,,,,,,,떡볶이,,,
40,신전떡볶이 화정점,4.67,,,,,,,떡볶이,,,
41,튀김나라,4.7,,,,,,,떡볶이,,,
42,신전떡볶이 봉선점,4.8,,,,,,,떡볶이,,,
43,무진장 떡볶이,4.8,,,,,,,떡볶이,,,
44,산수분식,4.5,,,,,,,떡볶이,,,
45,무등 분식,4.1,,,,,,,떡볶이,,,
46,뽀끼 캠프,4.12,,,,,,,떡볶이,,,
47,떡볶이 대통령,3.9,,,,,,,떡볶이,,,
48,신전떡볶이 학운점,4.1,,,,,,,떡볶이,,,
49,꼬막 상무점,3.89,,,,,,,꼬막,,,
50,꼬막집,4.2,,,,,,,꼬막,,,
51,육회먹은 꼬막,4.5,,,,,,,꼬막,,,
52,행복뜰,4.3,,,,,,,꼬막,,,
53,옛날에금잔디,4.4,,,,,,,꼬막,,,
54,소담 보리밥,4.9,,,,,,,보리밥,,,
55,보리피리,4.2,,,,,,,보리밥,,,
56,팔도강산,4.6,,,,,,,보리밥,,,
57,광신보리밥,4.3,,,,,,,보리밥,,,
58,옛날밥상,4.8,,,,,,,보리밥,,,
59,서석들 보리밥,4.45,,,,,,,보리밥,,,
60,영빈식당,4.32,062-227-5011,,,,,,보리밥,,,
61,칠우불고기,4.3,,,,,,,불고기,,,
62,명지원명가,4.6,,,,,,,불고기,,,
63,송현불고기,4.3,,,,,,,불고기,,,
64,한옥식당,4.2,,,,,,,불고기,,,
65,새마을식당,4.25,,,,,,,불고기,,,
66,무등산닭불고기,4.4,,,,,,,불고기,,,
67,콩불,4.5,,,,,,,불고기,,,
68,빛나네삼겹살,4.5,,,,,,,삼겹살,,,
69,미친고기 풍암점,4.6,,,,,,,삼겹살,,,
70,돼지 세끼,4.2,,,,,,,삼겹살,,,
71,솥뚜껑삼겹살,4.8,,,,,,,삼겹살,,,
72,돈일촌,4.7,,,,,,,삼겹살,,,
73,맛삼,4.2,,,,,,,삼겹살,,,
74,행복한양림밥상,4.3,,,,,,,상추튀김,,,
75,이게상추튀김이다,4.6,,,,,,,상추튀김,,,
76,튀김나라,4.4,,,,,,,상추튀김,,,
77,산수분식,4.1,,,,,,,상추튀김,,,
78,무등분식,3.9,,,,,,,상추튀김,,,
79,일미분식,3.8,,,,,,,상추튀김,,,
80,쌍둥이네튀김집,4.5,,,,,,,상추튀김,,,
81,신흥회관,4.2,,,,,,,상추튀김,,,
82,양림골,4.4,,,,,,,오리탕,,,
83,할매추어탕&오리탕,4.6,,,,,,,오리탕,,,
84,옥돌오리탕,4.2,,,,,,,오리탕,,,
85,영미오리탕,4.1,,,,,,,오리탕,,,
86,큰집오리탕&추어탕,4.3,,,,,,,오리탕,,,
87,함평장어,3.9,,,,,,,오리탕,,,
88,장어장수숯불구이,4.1,,,,,,,장어구이,,,
89,장어먹자,4.4,,,,,,,장어구이,,,
90,거목한정식,4.6,,,,,,,장어구이,,,
91,초가네장어구이,3.9,,,,,,,장어구이,,,
92,여자만힘쎈장어,4.45,,,,,,,장어구이,,,
93,기찬장어,4.3,,,,,,,장어구이,,,
94,고흥만만물장어,4.2,,,,,,,장어구이,,,
95,하해가,4.6,,,,,,,장어구이,,,
96,동천장어구이,4.5,,,,,,,장어구이,,,
97,김강심 칼국수,4.23,,,,,,,칼국수,,,
98,밀밭 해물 칼국수,4.5,,,,,,,칼국수,,,
99,세자매해물칼국수,4.6,,,,,,,칼국수,,,
100,산내들 칼국수,4.2,,,,,,,칼국수,,,
101,우산 바지락칼국수,4.1,,,,,,,칼국수,,,
102,신흥 바지락 칼국수,3.9,,,,,,,칼국수,,,
103,명동 칼국수,4.5,,,,,,,칼국수,,,
104,동명한우육회,4.4,,,,,,,한우육회,,,
105,매월한우촌,4.3,,,,,,,한우육회,,,
106,함평한우 육회비빔밥,4.8,,,,,,,한우육회,,,
107,한우육곰탕,4.2,,,,,,,한우육회,,,
108,금천한우정육식당,4.5,,,,,,,한우육회,,,
109,명품한우 육회비빔밥,4.7,,,,,,,한우육회,,,
